hex
FFFE
FFFD
FFFC
FFFA
FFF8
FFF6
FFF4
FFF1
FFF0
FFEF
FFEE
FFEF
FFF1
FFF4
FFF8
FFFE
3
B
13
1C
24
2C
32
36
38
37
32
2A
1F
11
0
FFEE
FFDA
FFC7
FFB5
FFA5
FF9A
FF93
FF93
FF9A
FFA7
FFBC
FFD8
FFF9
1E
46
6E
94
B6
D0
D8
E5
DC
C5
A0
6C
2C
FFE3
FF93
FF40
FEEE
FEA4
FE66
FE3A
FE24
FE29
FE4C
FE90
FEF6
FF7D
24
E5
1C5
2B5
3B1
4B0
5AC
69C
777
836
8D3
947
98E
9A6
98E
947
8D3
836
777
69C
5AC
4B0
3B1
2B5
1C5
E5
24
FF7D
FEF6
FE90
FE4C
FE29
FE24
FE3A
FE66
FEA4
FEEE
FF40
FF93
FFE3
2C
6C
A0
C5
DC
E5
D8
D0
B6
94
6E
46
1E
FFF9
FFD8
FFBC
FFA7
FF9A
FF93
FF93
FF9A
FFA5
FFB5
FFC7
FFDA
FFEE
0
11
1F
2A
32
37
38
36
32
2C
24
1C
13
B
3
FFFE
FFF8
FFF4
FFF1
FFEF
FFEE
FFEF
FFF0
FFF1
FFF4
FFF6
FFF8
FFFA
FFFC
FFFD
FFFE
